DATE_TIME,TOTAL_YIELD
15-05-2020 2.30,6259559
15-05-2020 2.30,6183645
15-05-2020 2.30,6987759
15-05-2020 2.30,7602960
15-05-2020 2.30,7158964
15-05-2020 2.30,7206408
15-05-2020 2.30,7028673
15-05-2020 2.30,6522172
15-05-2020 2.30,7098099
15-05-2020 2.30,6271355
15-05-2020 2.30,6316803
15-05-2020 2.30,7177992
15-05-2020 2.30,6185184
15-05-2020 2.30,7169102
15-05-2020 2.30,7111493
15-05-2020 2.30,7016832
15-05-2020 2.30,7038681
15-05-2020 2.30,6782598
15-05-2020 2.30,7007866
15-05-2020 2.30,6339380
15-05-2020 2.30,7116151
15-05-2020 2.45,6259559
15-05-2020 2.45,6183645
15-05-2020 2.45,6987759
15-05-2020 2.45,7602960
15-05-2020 2.45,7158964
15-05-2020 2.45,7206408
15-05-2020 2.45,7028673
15-05-2020 2.45,6522172
15-05-2020 2.45,7098099
15-05-2020 2.45,6271355
15-05-2020 2.45,6316803
15-05-2020 2.45,7177992
15-05-2020 2.45,6185184
15-05-2020 2.45,7169102
15-05-2020 2.45,7111493
15-05-2020 2.45,7016832
15-05-2020 2.45,7038681
15-05-2020 2.45,6782598
15-05-2020 2.45,7007866
15-05-2020 2.45,6339380
15-05-2020 2.45,7116151
15-05-2020 3.00,6259559
15-05-2020 3.00,6183645
15-05-2020 3.00,6987759
15-05-2020 3.00,7602960
15-05-2020 3.00,7158964
15-05-2020 3.00,7206408
15-05-2020 3.00,7028673
15-05-2020 3.00,6522172
15-05-2020 3.00,7098099
15-05-2020 3.00,6271355
15-05-2020 3.00,6316803
15-05-2020 3.00,7177992
15-05-2020 3.00,6185184
15-05-2020 3.00,7169102
15-05-2020 3.00,7111493
15-05-2020 3.00,7016832
15-05-2020 3.00,7038681
15-05-2020 3.00,6782598
15-05-2020 3.00,7007866
15-05-2020 3.00,6339380
15-05-2020 3.00,7116151
15-05-2020 3.15,6259559
15-05-2020 3.15,6183645
15-05-2020 3.15,6987759
15-05-2020 3.15,7602960
15-05-2020 3.15,7158964
15-05-2020 3.15,7206408
15-05-2020 3.15,7028673
15-05-2020 3.15,6522172
15-05-2020 3.15,7098099
15-05-2020 3.15,6271355
15-05-2020 3.15,6316803
15-05-2020 3.15,7177992
15-05-2020 3.15,6185184
15-05-2020 3.15,7169102
15-05-2020 3.15,7111493
15-05-2020 3.15,7016832
15-05-2020 3.15,7038681
15-05-2020 3.15,6782598
15-05-2020 3.15,7007866
